experiment,image,algo,threads,bw,run,event,value,unit
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,2,l1-dcache-loads,9355275763,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,2,l1-dcache-load-misses,1186969526,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,2,cache-misses,1874445,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,2,de_no_dispatch_per_slot.backend_stalls,179701406815,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,3,cycles,35615792144,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,3,instructions,103720144784,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,3,l1-dcache-loads,9365716859,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,3,l1-dcache-load-misses,1186716115,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,3,cache-misses,1591112,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,3,de_no_dispatch_per_slot.backend_stalls,179651909579,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,1,cycles,64231930023,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,1,instructions,103630416183,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,1,l1-dcache-loads,9406051689,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,1,l1-dcache-load-misses,1188800533,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,1,cache-misses,1956700,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,1,de_no_dispatch_per_slot.backend_stalls,268283362902,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,2,cycles,64356776411,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,2,instructions,103583977142,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,2,l1-dcache-loads,9414889535,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,2,l1-dcache-load-misses,1188889269,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,2,cache-misses,1935527,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,2,de_no_dispatch_per_slot.backend_stalls,268612430438,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,3,cycles,64186205032,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,3,instructions,103626138940,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,3,l1-dcache-loads,9399448172,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,3,l1-dcache-load-misses,1189175452,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,3,cache-misses,1835079,count
scaling,Images/bsd_124084_200x133.jpg,omp,24,20,3,de_no_dispatch_per_slot.backend_stalls,268263810904,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,1,cycles,28145171595,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,1,instructions,118207558269,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,1,l1-dcache-loads,69297694645,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,1,l1-dcache-load-misses,1191166895,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,1,cache-misses,1849230,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,1,de_no_dispatch_per_slot.backend_stalls,97270320575,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,2,cycles,28089137318,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,2,instructions,118244460434,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,2,l1-dcache-loads,69308301924,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,2,l1-dcache-load-misses,1190427972,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,2,cache-misses,1658144,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,2,de_no_dispatch_per_slot.backend_stalls,97179492845,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,3,cycles,28109974592,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,3,instructions,118221951876,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,3,l1-dcache-loads,69299207363,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,3,l1-dcache-load-misses,1191346326,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,3,cache-misses,1853703,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,1,20,3,de_no_dispatch_per_slot.backend_stalls,97131635798,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,1,cycles,28185323667,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,1,instructions,118195084229,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,1,l1-dcache-loads,69336084655,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,1,l1-dcache-load-misses,1189857960,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,1,cache-misses,1620417,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,1,de_no_dispatch_per_slot.backend_stalls,97343472456,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,2,cycles,28152581234,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,2,instructions,118203419068,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,2,l1-dcache-loads,69307400511,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,2,l1-dcache-load-misses,1191229467,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,2,cache-misses,1628598,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,2,de_no_dispatch_per_slot.backend_stalls,97342271084,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,3,cycles,28183695107,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,3,instructions,118259222805,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,3,l1-dcache-loads,69303118698,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,3,l1-dcache-load-misses,1190562284,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,3,cache-misses,1782150,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,2,20,3,de_no_dispatch_per_slot.backend_stalls,97589754373,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,1,cycles,28394234352,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,1,instructions,118299844387,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,1,l1-dcache-loads,69364919514,count
